Name,RA,Dec,Aperture,Flux
CenA,201.366666666667,-43.0111111111111,6.6,0.0
Crab,83.6291666666667,22.0163888888889,4.2,100.0
CygA,299.866666666667,40.7338888888889,1.8,0.0
HerA,252.783333333333,4.9925,2.34,0.0
HydA,139.520833333333,-12.095,1.2,0.0
OriA,83.825,-5.38638888888889,7.11,1.0
OriB,85.4208333333333,-1.89944444444444,4.95,0.0
PicA,79.95,-45.7647222222222,6.3,0.0
VirA,187.704166666667,12.3911111111111,10.2,100.0
PKSB0407-658,62.0833333333333,-65.7525,0.36,0.0
PKSB0409-752,62.2,-75.1219444444444,0.78,0.0
PKSB0723-008,111.458333333333,-0.915277777777778,0.36,0.0
PKSB1932-464,293.983333333333,-46.3441666666667,0.63,0.0
PKSB1934-638,294.854166666667,-63.7125,0.78,0.0
PKSB2152-699,329.279166666667,-69.6875,1.38,0.0
PKSB2356-611,359.758333333333,-60.9144444444444,4.5,0.0
3C48,24.4208333333333,33.1594444444444,0.6,0.0
3C84,49.95,41.5116666666667,1.44,0.0
3C111,64.5875,38.0311111111111,2.82,0.0
3C119,68.15,41.6405555555556,1.02,0.0
3C123,69.2666666666667,29.6708333333333,0.78,24.0
3C147,299.866666666667,40.7338888888889,0.9,0.0
3C196,123.4,48.2166666666667,1.38,0.0
3C273,187.2762016,2.0504428,1.0,0.0
3C298,214.784085,6.476335,0.66,0.0
3C345,250.741666666667,39.8088888888889,1.02,0.0
3C380,277.379166666667,48.7461111111111,1.02,13.0
3C409,303.6125,23.5813888888889,0.62,0.0
3C433,320.933333333333,25.0705555555556,1.32,0.0
3C446,336.445833333333,-4.95027777777778,0.36,0.0
3C454,343.4875,16.1480555555556,0.9,15.0
3C287,202.657044,25.153021,0.8,9.4
3C43,22.498944,23.638974,1.0,4.2
PKS1814-637,274.895428,-63.763609,0.8,2.0
3C161,96.791077,-5.885664,0.8,2.6
3C286,202.7854634,30.5106807,0.65,10.0
PKS0003-00,1.594117,-0.073526,0.65,6.7
4C11.69,338.151704,11.730807,0.65,6.7
3C438,328.967876,38.008227,0.65,3.3
3C219,140.285931,45.649275,3.7,8.3
3C280,194.237508,47.338852,0.8,5.5
B21611+34,243.421101,34.213308,0.8,5.1
3C388,281.0113166,45.5575905,2.0,5.5
PKS2032-35,308.949417,-34.902564,0.6,6.0
PKS2203-18,331.543404,-18.594096,0.7,6.2
PKS0023-26,6.454817,-26.036838,0.6,8.2
3C17,9.5848918,-2.1285155,1.5,1.6
3C29,14.3976518,-1.4009194,4.0,5.6
3C33,17.2207931,13.3357401,4.6,5.3
M77,40.6695012,-0.0132956,1.5,3.0
3C78,47.1103189,4.1107206,4.0,1.2
PKS0316+16,49.740844,16.475749,0.8,2.3
3C98,59.7240054,10.4298263,6.5,2.0
3C138,80.291192,16.639459,0.65,8.0
PKS0531+19,83.685448,19.455981,0.65,6.0
3C133,75.74368,25.273642,0.65,3.3
3C105,61.8314796,3.7015556,5.8,2.5
PKS0458-02,75.303374,-1.987293,0.65,1.0
4C+10.20,98.063762,10.367265,0.65,1.0
PKS1151-34,178.59078,-35.09141,0.65,5.9
PKS1453-10,223.97864,-11.145231,0.65,2.8
PKS1510-08,228.210554,-9.099952,0.65,2.5
PKS1508-05,227.723298,-5.718727,0.65,2.9
PKS1524-13,231.74767,-13.850045,0.65,2.6
PKS1730-13,263.261274,-13.08043,0.65,5.3
PKS1830-211,278.416201,-21.061048,0.65,10.0
PKS1859-23,285.705349,-23.497581,0.65,3.0
PKSJ1924-2914,291.212733,-29.2417,0.65,4.0
PKSJ2329-4730,352.323768,-47.50531,0.65,2.9
PKS2331-41,353.609126,-41.423411,0.65,2.5
PKS2323-40,351.642208,-40.45417,0.65,2.9
PKS0039-44,10.537417,-44.23348,0.65,2.5
PKS0043-42,11.5733497,-42.1321601,2.6,2.2
PKS0420-62,65.233575,-62.394351,0.65,3.2
PKS0637-75,98.943783,-75.271337,0.65,4.2
PKS0842-75,130.362645,-75.674409,0.65,3.1
